                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0627,                 3.7702,                 1.0187,                      0,                      0,                      0,                      0,                 1.7045,                 5.2308,                 1.3149,                 0.0901,                 0.0011,                 0.0011
                      2,                0.97204,                 2.3246,                 1.0051,                0.00144,                 0.3375,                0.00083,                0.00018,                  2.111,                 1565.9,                 3.9326,               0.079243,              0.0022431,              0.0022431
                      3,                 1.0444,                  1.833,                 1.0342,                0.00144,                 0.3375,                0.00083,                0.00018,                 1.8496,             1.2069e+05,                 3.6317,               0.068327,              0.0033267,              0.0033267
                      4,                 1.0512,                 1.6188,                 1.0267,                0.28289,                   0.25,                0.04316,                0.00984,                  2.343,                  14148,                 3.6908,               0.057351,               0.004351,               0.004351
                      5,                0.98647,                 1.4124,                 1.0073,                0.00151,                0.54167,                0.00136,                0.00088,                  1.325,                  34062,                 2.2603,               0.046316,              0.0053159,              0.0053159
                      6,                0.97805,                 1.4336,                 1.0185,                0.00151,                0.54167,                0.00136,                0.00088,                 2.1633,             1.4259e+05,                 8.0956,               0.035221,              0.0062214,              0.0062214
                      7,                0.94728,                 1.1666,                0.99274,                0.00011,                0.04167,                  6e-05,                  1e-05,                 2.1397,             1.1069e+05,                 8.3142,               0.024067,              0.0070674,              0.0070674
                      8,                0.94116,                 1.2238,                0.97482,                0.00011,                0.04167,                  6e-05,                  1e-05,                 2.3988,                  80775,                 4.0878,               0.012854,              0.0078541,              0.0078541
                      9,                0.86937,                 1.0488,                0.95289,                0.29455,                0.30769,                0.02876,                0.01644,                 1.3421,                  18155,                 2.1114,                0.00802,                0.00802,                0.00802
                     10,                0.91096,                 1.1529,                0.96559,                0.52273,                0.02083,                 0.2026,                0.15995,                0.70392,                 4811.4,                0.79573,                0.00802,                0.00802,                0.00802
                     11,                0.93049,                 1.0221,                0.94482,                0.16982,                      1,                0.83123,                0.66047,                0.52303,                 281.52,                0.65069,              0.0077725,              0.0077725,              0.0077725
                     12,                0.83261,                0.98393,                0.95202,                 0.2423,                0.67043,                0.54323,                0.45432,                0.53881,                 1814.5,                0.65476,               0.007525,               0.007525,               0.007525
                     13,                0.82925,                0.94323,                0.95587,                0.50207,                0.69032,                0.72864,                0.57478,                 0.5277,                 88.101,                0.64197,              0.0072775,              0.0072775,              0.0072775
                     14,                0.76413,                0.88325,                 0.9025,                0.55382,                0.72539,                0.83299,                0.70965,                0.46742,                 106.84,                0.61659,                0.00703,                0.00703,                0.00703
                     15,                0.72179,                 0.7693,                0.89032,                0.39606,                0.95833,                0.96259,                0.82279,                0.43791,                 73.448,                 0.6099,              0.0067825,              0.0067825,              0.0067825
                     16,                0.69987,                0.85867,                0.89574,                 0.7311,                   0.75,                  0.778,                0.62291,                0.47884,                 11.001,                0.61598,               0.006535,               0.006535,               0.006535
                     17,                0.76244,                0.83219,                0.91756,                 0.9088,                0.99639,                  0.995,                0.84148,                0.47974,                 36.822,                0.61659,              0.0062875,              0.0062875,              0.0062875
                     18,                0.77904,                0.78207,                0.90032,                0.88026,                0.98077,                0.99172,                0.85768,                0.39441,                 9.3589,                0.58537,                0.00604,                0.00604,                0.00604
                     19,                0.67817,                0.69897,                0.88877,                0.92818,                  0.969,                0.99267,                0.89167,                0.36369,                 13.822,                0.57491,              0.0057925,              0.0057925,              0.0057925
                     20,                0.70317,                0.65136,                0.88482,                 0.8851,                0.91342,                0.97914,                0.84579,                0.41582,                 16.613,                0.58789,               0.005545,               0.005545,               0.005545
                     21,                0.67873,                0.71516,                0.89067,                  0.815,                 0.9746,                0.99375,                0.86933,                0.39811,                   18.8,                0.58597,              0.0052975,              0.0052975,              0.0052975
                     22,                0.68043,                0.70287,                0.87911,                0.79045,                0.98393,                  0.995,                0.87163,                0.40524,                 18.664,                0.59108,                0.00505,                0.00505,                0.00505
                     23,                0.69219,                 0.6761,                0.86923,                0.97758,                0.98271,                  0.995,                0.87527,                0.41249,                 1.5751,                0.58816,              0.0048025,              0.0048025,              0.0048025
                     24,                0.64466,                0.69725,                0.89092,                0.93298,                0.96506,                  0.995,                0.89393,                0.39486,                0.77003,                0.58316,               0.004555,               0.004555,               0.004555
                     25,                0.60231,                0.64715,                0.87156,                0.98259,                0.98017,                  0.995,                0.88381,                0.36905,                0.56705,                 0.5733,              0.0043075,              0.0043075,              0.0043075
                     26,                0.58222,                0.60695,                0.85549,                0.93835,                 0.9558,                  0.995,                0.86641,                0.39525,                0.89147,                0.57982,                0.00406,                0.00406,                0.00406
                     27,                0.63727,                0.60469,                 0.9023,                0.96769,                 0.9791,                  0.995,                0.87484,                0.37294,                 1.4136,                 0.5752,              0.0038125,              0.0038125,              0.0038125
                     28,                0.57706,                0.64817,                0.85714,                0.98844,                 0.9845,                  0.995,                0.90988,                0.36272,                0.49638,                0.57248,               0.003565,               0.003565,               0.003565
                     29,                0.61534,                0.61657,                0.86244,                0.98455,                0.98762,                  0.995,                0.87658,                0.37815,                0.53738,                0.57435,              0.0033175,              0.0033175,              0.0033175
                     30,                0.57874,                0.56511,                0.83842,                0.97083,                0.98621,                0.99346,                0.88865,                0.39071,                0.32025,                 0.5755,                0.00307,                0.00307,                0.00307
                     31,                0.54294,                0.52893,                0.84783,                0.86739,                0.93418,                0.99192,                0.89705,                 0.3699,                0.44438,                0.57162,              0.0028225,              0.0028225,              0.0028225
                     32,                0.50324,                0.50711,                0.86011,                 0.9628,                0.96592,                0.99346,                0.89699,                0.35162,                0.31425,                0.56938,               0.002575,               0.002575,               0.002575
                     33,                0.50986,                0.48752,                0.83297,                0.97315,                0.95394,                0.99346,                0.89066,                0.37019,                0.28592,                0.57424,              0.0023275,              0.0023275,              0.0023275
                     34,                0.50253,                0.46493,                0.84077,                0.98518,                0.98601,                  0.995,                0.88618,                0.35777,                0.33482,                0.57042,                0.00208,                0.00208,                0.00208
                     35,                0.50401,                0.43596,                0.83213,                0.97869,                0.98522,                  0.995,                0.87329,                0.39285,                0.27898,                0.57974,              0.0018325,              0.0018325,              0.0018325
                     36,                 0.5144,                0.45121,                0.82537,                0.98804,                0.98253,                  0.995,                0.90245,                0.35763,                0.28501,                0.56978,               0.001585,               0.001585,               0.001585
                     37,                0.47948,                0.42148,                0.84367,                0.99539,                0.98267,                  0.995,                0.88771,                0.36495,                0.26295,                0.56837,              0.0013375,              0.0013375,              0.0013375
                     38,                0.48767,                0.42352,                0.83348,                0.99431,                0.97473,                0.99375,                0.89738,                0.34922,                0.26591,                  0.565,                0.00109,                0.00109,                0.00109
                     39,                0.47561,                0.41584,                0.83252,                 0.9854,                0.98043,                  0.995,                0.90497,                0.35286,                0.27012,                0.56852,              0.0008425,              0.0008425,              0.0008425
                     40,                0.46137,                0.39614,                0.83661,                0.97939,                0.98007,                  0.995,                    0.9,                0.35738,                0.29592,                 0.5691,               0.000595,               0.000595,               0.000595
